maize	scallion	guava	mushroom	cabbage	lentil	olive	raisin	persimmon	caraway	kohlrabi	cauliflower	eggplant	nectarine	okra	clementine	leek	pumpkin	horseradish	basil	spinach	grape	chickpea	strawberry	oregano	ginger	parsley	tomato	mustard	butternut	coconut	huckleberry	type
14	306	91	95	242	177	14	73	99	10	155	28	49	0	50	161	1	73	36	1	317	65	228	1	141	62	139	14	395	18	139	301	14
251	412	15	92	122	22	142	74	132	292	50	278	169	0	12	13	0	235	2	0	110	50	0	1	22	103	20	0	94	0	105	80	6
92	280	88	46	87	168	17	43	832	58	102	52	37	171	171	176	203	29	232	153	548	202	107	128	99	16	53	213	443	502	8	115	15
164	434	1	88	31	119	26	127	95	36	0	22	262	1	95	14	2	262	253	2	1	14	132	1	291	40	14	24	1	437	23	237	12
4	1	452	102	12	145	365	4	2	348	352	106	43	84	2	18	393	208	0	94	302	77	1	140	96	116	31	1	223	0	31	2	3
208	132	2	167	89	33	62	51	151	91	3	38	2	243	15	40	275	24	1	178	0	8	1	727	52	76	72	0	1	1	58	186	5
76	128	1	99	208	66	176	43	104	14	1	70	32	140	264	95	148	84	199	148	0	51	82	96	86	57	41	111	1	96	27	127	13
33	1	97	51	271	7	98	141	2	121	44	81	244	366	4	133	282	110	0	31	112	158	0	114	41	42	37	6	369	0	234	0	3
71	1	18	75	29	104	17	33	0	26	131	158	9	0	3	70	0	111	182	0	36	31	105	1	135	236	120	440	101	538	60	1	10
86	43	104	82	98	89	123	35	10	52	162	160	160	0	107	200	1	100	2	0	426	61	0	1	78	279	59	0	141	0	342	89	6
32	363	1	90	65	49	32	47	150	185	1	122	130	206	85	97	107	67	87	74	0	24	266	362	150	194	61	168	2	18	79	84	13
16	0	91	30	58	69	170	247	1	58	321	20	7	3	1	31	4	59	144	1	42	14	28	1	84	122	21	425	413	558	56	1	10
20	1	0	34	41	126	166	16	1	38	0	118	73	142	3	26	41	49	1	271	0	43	2	135	27	93	64	5	0	2	183	0	1
54	118	125	34	49	14	29	9	28	147	23	22	40	291	56	21	529	136	36	82	563	80	196	577	188	26	74	410	118	348	49	7	15
250	137	408	249	115	176	25	15	834	228	466	56	50	474	374	114	187	162	150	149	70	9	101	226	63	37	254	268	56	86	100	130	15
13	394	1	47	70	218	57	168	83	71	0	84	49	316	117	157	301	86	0	82	4	95	0	370	120	29	226	3	3	1	17	95	5
106	4	0	67	40	72	32	48	0	155	1	57	66	316	2	180	266	76	227	538	4	28	246	185	90	166	149	264	0	156	250	0	9
85	0	111	216	8	212	128	221	0	85	62	61	28	1	0	126	0	16	270	0	67	77	193	1	83	118	56	223	62	74	17	1	10
107	2	56	52	96	19	80	39	1	144	189	66	122	0	6	124	0	21	0	2	238	32	0	0	49	83	84	0	31	0	23	1	2
56	269	199	50	67	5	215	46	612	94	102	82	98	1	993	120	2	77	414	0	353	60	154	2	116	73	131	42	346	140	53	153	14
125	300	1	59	48	305	71	81	65	11	3	10	47	0	248	62	1	215	3	0	2	169	0	1	35	30	66	0	3	1	89	406	4
231	86	213	12	239	170	233	67	582	39	214	40	287	1	60	152	1	207	113	3	50	71	60	0	349	83	111	1138	190	53	19	83	14
65	0	136	42	122	37	67	301	1	35	81	92	33	1	0	184	1	46	131	0	318	46	472	1	135	202	78	24	353	516	137	2	10
192	0	0	116	14	124	11	151	0	261	0	186	211	379	2	67	102	198	3	129	1	38	0	28	73	213	18	0	0	1	461	2	1
1	66	194	29	402	43	28	339	204	99	230	32	143	0	495	87	0	203	2	0	116	37	3	0	9	240	191	1	259	4	29	36	6
108	141	43	94	31	19	9	59	73	117	116	74	24	0	454	11	1	156	0	2	226	34	0	0	207	253	40	2	196	0	32	97	6
172	255	90	35	164	53	62	140	291	66	120	106	101	0	119	46	0	174	0	1	351	104	1	0	126	169	42	0	137	1	25	33	6
185	0	0	58	140	95	151	52	0	130	0	44	121	0	0	249	1	30	1	0	0	123	0	1	202	32	128	0	1	2	68	1	0
139	24	63	4	110	98	48	125	114	100	172	387	336	277	197	170	276	122	158	308	109	57	205	503	118	38	9	38	237	35	44	45	15
40	20	81	107	78	90	124	76	238	58	278	46	122	325	56	92	75	57	86	93	37	128	117	247	105	12	37	148	250	118	120	17	15
37	82	1	34	74	30	193	63	71	57	0	52	208	4	280	57	0	101	1	3	4	50	1	0	97	307	96	0	2	1	28	130	4
145	0	1	54	56	81	147	68	1	342	0	75	34	0	1	73	6	65	204	1	1	201	298	0	38	48	51	87	0	34	340	1	8
222	1	169	162	237	51	62	94	1	44	107	22	13	154	0	104	241	112	0	293	81	43	0	428	84	354	83	0	306	0	13	1	3
128	795	2	44	49	30	68	106	156	276	1	13	39	134	332	117	340	48	0	65	2	65	1	109	25	37	103	1	0	2	176	342	5
23	0	300	44	91	276	69	48	1	25	344	38	51	95	0	64	437	49	20	111	178	40	281	381	61	120	19	111	149	394	32	0	11
133	1	46	41	90	230	227	22	0	92	228	42	217	1	0	172	3	29	177	0	680	119	24	2	89	90	41	301	169	93	46	2	10
105	2	0	55	330	106	55	162	0	73	1	167	34	1	0	102	3	93	1	0	0	84	1	1	82	42	106	3	1	0	167	0	0
209	0	1	24	41	64	146	89	0	163	0	110	75	0	2	16	0	65	1	0	0	12	1	0	28	163	92	1	0	1	61	0	0
182	189	1	99	112	61	25	3	226	267	2	29	55	0	68	12	3	16	2	1	0	86	1	0	85	47	36	0	0	0	284	121	4
53	0	0	87	126	72	51	165	0	86	1	5	87	196	1	49	266	223	136	247	2	14	155	28	129	49	141	56	1	470	198	0	9
81	0	74	13	125	36	106	100	0	129	35	134	92	102	1	71	102	53	371	180	175	240	261	22	283	55	75	94	201	261	23	4	11
311	0	218	71	162	285	12	73	1	51	48	132	127	0	0	100	1	73	87	1	126	184	84	1	29	39	56	147	159	275	80	2	10
65	208	0	62	155	417	212	187	99	91	0	114	244	1	410	73	1	70	19	0	1	26	7	0	178	77	242	56	0	200	198	260	12
235	1	167	190	55	118	79	17	0	216	320	194	55	2	1	30	1	79	0	1	168	47	1	0	99	218	21	2	56	1	195	0	2
21	85	132	208	64	84	87	17	115	175	264	205	23	3	166	88	0	44	1	1	83	122	2	0	79	63	160	0	181	5	105	622	6
28	0	162	51	50	25	120	139	0	176	495	136	91	0	0	8	3	71	348	0	160	104	41	1	110	131	25	292	429	72	185	3	10
198	1	131	38	12	128	179	27	0	142	155	127	150	25	0	1	42	32	2	184	332	34	0	233	47	35	514	4	472	0	73	4	3
135	126	68	186	130	25	120	4	306	27	288	29	104	339	91	97	556	87	0	47	36	61	0	7	118	63	48	1	84	0	33	9	7
28	1	1	32	131	125	10	75	8	155	0	78	98	9	2	42	81	73	345	45	0	255	311	120	174	197	88	211	0	798	194	2	9
90	0	21	38	49	125	36	158	2	38	398	77	51	3	1	218	0	131	0	1	89	55	2	0	109	158	28	1	93	0	107	0	2
75	0	498	66	51	218	26	10	1	44	128	380	11	4	2	13	2	130	0	0	255	166	1	2	191	35	1	3	259	1	34	0	2
60	191	103	114	220	72	88	32	28	87	91	119	66	0	240	282	1	35	1	1	38	153	3	1	93	175	105	0	498	0	61	70	6
152	0	0	35	113	41	46	68	2	78	5	276	126	4	0	25	0	201	1	1	1	191	1	1	78	117	74	2	0	3	20	1	0
97	0	135	145	45	321	95	30	2	48	509	267	335	0	2	191	1	47	670	1	89	201	333	0	111	55	138	273	55	243	65	0	10
110	0	1	22	275	48	158	25	0	104	0	126	287	0	0	174	0	187	9	1	0	183	41	1	217	40	13	133	1	213	86	0	8
104	0	3	23	103	15	45	127	1	35	0	127	30	96	1	79	185	96	1	82	2	68	0	102	28	72	280	1	0	1	46	0	1
141	46	128	122	227	130	69	180	114	48	800	322	281	0	265	82	0	83	156	1	217	195	224	1	82	157	12	104	369	394	254	230	14
63	218	28	94	259	17	39	106	464	101	76	139	63	92	374	27	219	123	96	184	120	130	138	62	15	18	132	142	208	168	8	125	15
35	0	0	13	120	44	116	134	0	45	4	160	85	0	0	86	0	97	104	1	0	124	65	1	79	102	15	424	1	243	127	1	8
6	1	345	12	25	16	145	17	1	57	321	120	62	1	1	36	4	19	2	1	63	103	0	2	33	112	130	1	44	0	34	0	2
43	105	0	127	151	153	11	152	615	112	0	55	56	325	30	73	84	48	80	157	0	25	35	175	14	11	72	240	0	51	80	90	13
22	0	336	79	110	64	12	81	4	34	277	90	72	0	0	136	4	8	669	1	59	192	244	1	183	40	98	211	426	101	30	0	10
50	114	1	79	163	254	25	173	185	99	2	5	145	160	56	204	32	84	2	232	1	176	0	462	48	106	34	2	2	2	31	307	5
72	1	1	385	112	41	19	75	0	35	0	95	135	2	0	102	1	34	1	2	0	62	1	1	25	156	85	0	0	0	118	2	0
59	93	194	151	20	150	128	103	166	18	265	67	43	1	314	169	1	84	0	1	13	55	1	1	132	7	105	1	397	0	57	241	6
23	208	241	104	38	175	101	22	467	204	142	29	38	1	122	73	5	85	292	0	422	176	181	2	96	110	25	112	380	688	97	267	14
100	79	3	65	167	60	178	104	46	25	0	179	50	3	280	192	2	68	193	0	0	60	244	2	83	21	68	135	0	348	132	395	12
249	2	317	69	87	147	84	100	1	65	204	53	15	0	0	278	1	173	236	3	21	45	140	1	149	6	196	229	119	73	47	2	10
285	277	176	29	76	32	200	85	298	99	122	54	3	440	138	67	308	97	213	159	367	130	128	564	101	18	44	100	144	625	212	169	15
70	21	161	112	66	81	169	71	184	32	281	4	138	3	96	84	0	142	163	1	437	37	166	1	103	246	42	263	153	80	86	519	14
187	0	1	33	32	84	71	134	0	209	0	12	57	144	0	119	243	7	388	354	0	213	156	122	43	32	16	93	2	56	183	0	9
13	18	113	31	126	155	66	34	319	54	151	199	48	1	128	187	0	69	236	0	46	32	249	1	279	88	21	434	200	370	52	170	14
30	77	0	108	37	99	100	43	243	1	4	66	122	46	86	146	39	94	170	105	1	83	66	65	55	17	39	88	1	316	301	134	13
204	0	1	33	6	70	120	247	0	396	4	79	21	2	0	46	4	154	0	0	0	38	0	1	11	86	94	1	2	1	260	1	0
67	0	507	45	39	36	108	176	3	46	28	67	96	4	2	76	2	109	4	1	238	17	0	1	60	19	231	0	109	0	42	1	2
47	47	1	82	151	31	9	165	424	80	2	71	31	2	325	17	0	79	423	0	0	185	504	0	138	204	125	246	0	526	162	378	12
136	0	156	134	160	51	27	188	3	27	232	121	107	0	0	206	0	4	1	4	5	46	0	1	138	210	19	0	210	3	116	1	2
266	4	0	154	66	43	110	70	2	151	0	152	135	56	0	136	128	80	322	83	2	51	118	27	168	143	141	60	0	50	99	2	9
49	285	426	22	173	11	45	287	111	98	32	110	49	0	148	10	1	189	388	1	300	117	79	0	31	155	143	384	533	251	43	41	14
104	156	2	28	146	217	51	97	152	132	0	45	36	113	14	170	230	35	0	673	1	128	1	81	30	106	35	1	2	1	33	496	5
289	0	1	88	95	102	122	339	1	97	3	75	87	0	3	94	2	54	202	5	0	48	508	2	27	78	40	89	1	397	327	1	8
31	5	98	16	360	31	190	125	0	225	295	199	34	143	0	72	156	229	1	19	258	41	2	429	118	45	92	3	138	0	141	0	3
112	0	62	14	5	36	37	118	0	164	444	59	267	0	0	126	10	106	229	0	91	3	133	0	4	115	80	120	189	661	141	0	10
82	339	5	28	71	100	107	503	13	297	1	37	32	1	131	9	2	47	159	0	1	163	214	1	283	97	99	204	0	223	84	339	12
66	427	0	53	377	67	166	135	137	87	0	19	73	5	526	134	1	228	71	0	0	172	60	1	163	64	152	108	2	22	207	180	12
114	30	0	302	47	146	78	17	62	38	1	16	29	36	21	189	97	81	1	338	1	32	2	214	56	115	14	2	2	2	133	37	5
100	282	188	197	146	32	113	206	207	96	239	158	33	224	96	55	204	37	141	133	223	79	207	476	223	98	15	91	123	131	87	106	15
149	3	1	39	55	52	24	436	0	150	2	58	166	0	0	98	3	42	19	3	1	138	293	0	128	4	18	21	1	764	31	0	8
50	2	0	102	104	17	232	152	2	6	1	72	86	1	0	9	0	72	0	3	1	23	0	0	68	126	83	1	0	0	151	0	0
118	1	1	216	91	260	27	276	2	159	5	100	31	1	0	146	0	25	588	3	1	30	242	0	127	23	42	116	1	184	157	4	8
126	49	154	67	10	106	89	27	161	35	137	142	135	2	177	72	4	125	23	2	113	59	129	0	22	48	61	210	392	368	61	62	14
7	76	441	211	34	190	156	3	166	34	130	28	73	0	238	13	0	113	1	0	179	78	2	1	34	101	44	2	234	0	122	52	6
56	114	129	261	47	268	158	418	88	33	237	67	201	0	34	138	1	53	69	1	228	184	329	0	17	30	111	41	185	99	14	290	14
92	81	95	73	64	74	86	75	351	9	264	182	39	94	129	112	14	39	146	289	283	10	46	31	196	42	27	335	105	146	32	101	15
53	0	0	263	86	47	130	56	0	21	1	22	88	564	2	238	11	66	106	270	1	68	143	344	184	129	36	779	0	270	43	1	9
38	109	0	23	63	8	95	115	454	52	1	104	103	393	154	96	156	288	1	226	0	28	1	24	72	51	123	0	0	0	29	63	5
64	57	1	177	33	51	65	58	299	45	1	281	17	331	24	37	205	39	2	97	1	57	3	286	156	56	93	0	0	0	41	253	5
172	136	0	117	49	157	85	43	98	284	3	13	197	63	58	241	80	40	16	152	0	113	229	280	179	64	56	96	1	173	17	294	13
29	1	0	70	24	113	155	87	2	166	0	24	159	0	0	21	1	137	0	3	2	54	2	4	93	45	214	0	0	0	60	0	0
63	112	0	104	49	42	67	88	99	59	0	158	9	310	49	110	198	169	73	161	0	25	153	208	173	285	86	474	1	111	31	331	13
220	0	22	94	41	236	204	64	0	17	20	12	41	0	1	74	1	39	1	1	94	51	5	2	352	29	78	0	114	2	21	1	2
46	1	0	134	234	233	103	22	0	145	0	167	58	215	1	55	89	213	117	360	0	75	37	89	34	81	46	237	0	179	39	2	9
53	225	57	13	81	118	109	88	155	61	295	34	148	79	246	45	74	25	2	182	177	80	0	366	133	57	279	2	354	0	341	73	7
130	154	332	310	24	177	99	147	92	240	503	69	125	3	470	43	2	165	3	0	103	85	1	0	58	338	185	0	121	2	294	199	6
86	377	0	34	26	26	138	61	344	327	1	94	186	4	33	365	1	55	455	0	2	48	151	2	61	43	47	246	1	30	472	29	12
112	327	35	250	203	100	166	170	539	76	81	130	57	4	232	17	1	57	380	3	150	20	52	1	30	73	317	236	171	33	65	212	14
20	0	368	112	143	172	16	42	1	21	582	53	24	124	0	46	135	92	93	1263	243	7	108	139	211	249	145	48	148	422	74	0	11
21	0	0	141	234	172	189	47	0	145	0	46	78	0	2	136	0	114	3	1	0	18	1	0	160	22	32	0	1	2	386	0	0
118	144	69	130	66	67	172	311	222	138	172	42	31	0	158	112	1	143	439	1	415	26	288	0	62	97	42	166	67	187	79	42	14
56	402	237	63	42	208	119	127	298	248	234	116	118	2	149	86	2	14	1	0	440	2	0	1	50	86	54	0	136	0	60	435	6
36	0	57	121	64	87	65	95	3	87	95	60	132	2	3	118	0	178	63	1	188	197	324	0	3	90	29	117	100	380	127	0	10
50	1	34	71	107	27	156	32	0	133	27	162	27	5	0	52	3	124	0	1	256	28	0	3	126	127	46	0	128	2	118	1	2
214	0	1	155	60	76	26	44	3	52	0	72	71	0	2	143	2	125	0	0	1	39	2	0	22	72	205	0	3	3	243	0	0
27	126	67	72	92	51	156	42	176	33	203	249	182	3	187	49	1	80	173	1	489	10	49	1	139	107	209	246	121	179	85	60	14
42	251	67	26	102	55	268	123	51	102	408	49	67	120	82	139	33	261	542	145	101	130	252	225	122	57	65	20	186	236	152	237	15
45	5	2	61	73	175	148	18	1	173	0	6	55	388	3	95	110	1	236	223	1	57	607	91	75	102	88	47	3	467	81	1	9
133	0	1	50	101	117	259	261	3	224	0	255	348	2	2	134	0	44	0	1	0	149	3	0	38	31	96	3	1	0	69	1	0
146	155	0	80	103	195	23	45	3	68	2	87	12	2	59	111	1	87	323	2	1	114	282	2	10	93	73	182	0	49	256	18	12
53	1	1	63	52	88	47	49	0	119	2	12	52	5	3	63	1	141	213	0	0	183	47	1	92	28	47	180	1	688	97	4	8
102	331	155	297	39	93	16	159	334	138	116	75	88	232	527	65	351	19	156	50	93	72	93	62	136	97	48	22	124	137	234	197	15
124	0	79	206	113	68	55	35	0	113	15	106	335	0	1	87	0	304	608	4	126	253	246	0	36	128	77	359	68	233	70	2	10
32	111	0	83	47	5	11	48	66	5	0	68	48	1	122	216	3	48	11	0	0	257	147	0	54	78	327	204	0	68	266	142	12
160	0	117	44	48	7	107	308	0	35	337	19	132	0	0	137	0	25	1	0	483	23	1	0	58	173	23	0	471	1	32	0	2
109	264	0	35	101	107	57	44	316	144	3	15	58	1	281	21	0	21	121	4	0	106	82	3	173	102	95	103	2	329	78	246	12
163	0	92	101	65	89	312	117	1	155	153	43	162	128	0	256	105	150	124	125	230	237	50	129	13	108	28	255	74	47	99	0	11
102	1	67	15	7	72	30	69	0	83	397	54	71	0	1	78	1	95	0	1	114	139	5	0	148	77	72	1	270	0	87	1	2
97	121	0	80	12	32	51	43	393	176	2	20	17	1	244	177	0	37	3	3	0	55	0	0	514	75	215	1	0	0	43	375	4
118	0	110	168	441	72	39	77	2	50	313	103	182	2	4	6	1	7	5	0	34	31	116	0	26	77	97	251	239	238	160	1	10
160	0	0	114	45	101	25	112	1	75	4	306	76	246	0	13	263	27	343	272	1	66	141	243	73	21	170	80	3	38	163	1	9
149	415	0	86	60	219	163	122	38	49	0	138	38	195	196	49	63	110	0	10	2	91	0	127	60	156	188	1	0	2	171	48	5
12	88	294	20	8	124	57	56	44	176	414	22	65	0	238	27	0	135	448	0	335	103	29	0	60	105	49	299	321	149	14	219	14
228	195	0	127	54	270	123	92	115	192	4	108	83	1	148	59	2	62	0	3	0	202	1	0	261	30	67	0	0	1	27	120	4
50	3	395	2	76	74	115	126	2	55	134	152	269	1	1	64	1	153	1	1	23	82	2	4	49	79	67	0	322	2	27	0	2
326	93	0	65	132	176	119	102	36	56	1	196	77	129	226	65	152	15	103	51	2	39	12	205	84	50	182	305	0	71	37	365	13
149	0	10	48	94	236	190	82	2	104	149	144	126	0	0	128	2	29	89	1	60	28	359	2	100	180	47	63	150	90	88	0	10
359	0	0	38	211	134	169	40	1	66	0	14	116	157	0	11	61	15	214	152	0	23	159	666	46	70	102	51	1	162	18	0	9
116	242	60	112	90	94	314	51	171	13	240	163	327	2	146	60	0	180	222	1	186	61	143	1	42	21	34	87	218	62	62	273	14
59	448	150	194	11	35	90	45	120	40	219	164	117	1	303	37	0	22	1	0	245	90	2	2	24	42	35	0	288	3	43	118	6
240	0	0	43	129	60	66	41	0	89	0	59	6	45	0	121	59	171	28	113	1	153	439	380	42	137	11	112	0	48	244	1	9
34	178	0	93	165	207	75	41	59	242	2	60	145	0	486	205	1	13	222	1	4	70	290	2	96	33	159	194	0	121	260	113	12
30	2	410	170	220	147	43	138	0	42	81	43	73	0	6	98	2	50	2	0	156	30	0	0	26	104	46	2	497	2	70	1	2
32	109	10	175	16	0	75	52	66	49	299	155	130	3	331	98	1	35	76	0	57	88	1173	1	163	223	272	16	31	45	14	123	14
122	0	402	89	89	13	51	34	3	33	229	56	184	2	0	79	0	89	1	2	118	12	1	0	159	13	33	2	229	0	46	1	2
190	0	0	98	38	76	175	6	1	282	0	34	110	1	1	79	2	141	1	0	1	129	0	0	38	60	16	2	1	2	142	1	0
21	1	220	32	55	103	99	9	3	42	235	84	138	2	0	34	0	58	574	0	285	18	424	0	54	64	46	599	159	92	169	1	10
64	0	2	25	138	72	123	19	0	41	1	102	32	263	0	9	55	290	153	76	2	44	86	71	66	89	31	159	1	167	89	0	9
66	0	180	301	138	97	277	41	0	78	236	76	99	0	1	78	3	44	1	1	243	129	0	2	109	178	153	0	249	0	103	1	2
17	3	470	13	127	158	44	162	1	97	75	44	178	0	0	56	1	105	1	0	41	36	0	0	143	99	239	0	597	1	92	0	2
18	0	592	127	63	66	434	8	0	87	189	107	108	0	1	31	0	37	72	3	11	55	185	1	283	46	67	363	188	230	192	2	10
173	1	0	64	104	16	87	102	1	45	0	87	47	179	1	29	259	186	1	37	0	44	3	242	51	245	30	0	0	1	20	1	1
37	83	0	68	44	61	207	68	178	101	2	22	37	0	125	235	0	74	154	0	0	16	165	1	103	28	126	10	0	279	48	447	12
63	69	0	113	5	113	215	18	56	20	1	142	82	0	60	43	2	181	344	0	0	136	59	0	73	90	172	164	0	227	84	22	12
29	97	324	187	153	138	132	89	549	49	307	199	65	121	102	36	111	86	5	240	124	6	0	444	41	271	54	0	131	0	164	417	7
47	0	0	114	31	425	170	110	0	106	0	12	87	125	1	101	61	69	54	139	0	84	229	201	26	146	17	614	0	307	7	1	9
45	174	105	11	51	83	174	65	137	92	320	215	76	2	167	145	1	33	1	1	85	165	0	1	89	87	248	0	76	2	358	124	6
200	255	0	118	135	51	8	135	76	107	1	56	74	1	423	50	1	65	2	1	1	9	0	1	16	85	105	1	0	3	20	64	4
178	155	446	84	73	157	36	83	359	109	208	24	69	1	182	200	0	47	0	0	230	93	2	2	396	64	68	1	274	3	72	683	6
64	0	1	54	46	74	83	212	0	7	0	119	107	1	1	162	0	102	1	0	0	111	0	0	80	247	44	1	0	0	47	1	0
10	359	147	189	58	90	180	48	67	157	565	102	190	122	306	114	213	30	216	180	276	137	180	34	169	56	96	199	212	423	25	34	15
80	52	283	16	61	75	28	7	445	25	112	166	76	0	208	210	0	100	0	0	0	75	0	2	47	35	173	1	127	2	16	232	6
148	1	87	39	159	75	100	161	0	144	465	113	25	2	2	61	1	33	3	2	231	122	2	0	52	1	131	4	91	2	23	0	2
39	280	1	124	97	81	88	204	96	44	1	71	66	1	164	33	0	118	1	0	0	47	0	5	115	99	33	0	2	1	112	157	4
56	2	0	138	156	51	53	104	1	39	1	91	126	605	0	53	188	15	85	165	0	141	223	479	88	35	15	266	2	171	186	1	9
144	280	0	92	87	31	40	24	58	74	5	24	58	102	379	0	226	40	3	55	1	78	1	245	78	63	40	5	4	0	113	159	5
38	16	1	43	95	92	45	43	76	249	1	23	5	230	99	200	114	53	1	337	1	170	5	30	82	45	132	2	0	5	61	189	5
141	0	98	107	53	84	173	347	2	100	156	145	165	0	0	139	1	116	364	0	105	55	69	0	169	43	199	64	455	412	103	1	10
62	17	0	0	40	9	63	73	107	147	0	129	101	196	55	111	26	177	153	780	0	41	248	237	227	104	84	11	0	182	111	525	13
56	0	298	60	17	85	320	95	1	126	383	139	362	0	0	405	1	26	116	0	3	369	415	0	159	173	64	137	404	383	78	4	10
92	236	414	57	92	21	162	225	78	17	303	83	54	195	869	13	163	60	1	162	34	122	0	70	21	109	108	2	289	2	45	580	7
140	0	335	82	90	64	72	157	0	57	51	120	237	0	0	149	2	343	0	0	352	52	1	1	50	39	84	2	158	3	91	0	2
