#cell        type      caraway         kiwi
303             4         3553           35
304             3            3           16
305             1         2030         1058
306             1         1196         4935
307             2          571          192
308             2          363          390
309             1          420         1377
310             0           16          342
311             0           19         1016
312             2          184          242
313             3           29           20
314             2          295           76
315             2          183          389
316             4         1183           41
317             1         1950         2061
318             1         3344          997
319             2          366          359
320             2          208          428
321             1         3524         3794
322             2          124           34
323             0           17          736
324             2          334          584
325             2          346          237
326             3           19           23
327             4         3928           19
328             2          490          614
329             3           39           33
330             2          121          417
331             1         1134         4074
332             4         2019           23
333             3           83           11
334             4         1429           28
335             1         3282         1247
336             2          273           46
337             2          271          170
338             2          274          395
339             1          647         5551
340             1         1712         1591
341             3           16           21
342             2          273          824
343             0           22         1343
344             2          235          417
345             1         2742         1563
346             3           39           40
347             3            8           21
348             2           84           98
349             4         1069           20
350             2          263          336
351             1         1692         1160
352             3           47           24
353             2          265          592
354             2          227          128
355             1         1502          748
356             3           37           39
357             3           34           22
358             2          168          891
359             1         4413          593
360             0           35         1340
361             2          195          306
362             1         4252         1383
363             2          190          787
364             4         4216           19
365             3           40           82
366             3           52           25
367             4         2840           77
368             1          879          987
369             1         1701         1576
370             1         2313          712
371             2          580          403
372             2          738          273
373             1         1902         1921
374             1         1116         3273
375             3            6           15
376             3           57           21
377             1         4336         2112
378             3           10           25
379             4         4285            6
380             1          922          780
381             2          226          285
382             2           88          291
383             2          199          856
384             1         1725         3244
385             0           17         3239
386             1         1789         1464
387             3           70           18
388             2          303          205
389             1         2142         1691
390             2          116          226
391             4          401           60
392             0           18         1368
393             2          346          385
394             2          294          239
395             1         1614         2762
396             4          783           25
397             2          398          133
398             2          271          167
399             2          548          277
400             0           33          954
401             4         1503           17
402             0           33         3378
403             4         5356           28
404             2          202          252
405             2           97          222
406             4          816           32
407             2          416          435
408             2          447          295
409             3           47           32
410             4         1553           18
411             1         1417         2976
412             2          301          734
413             1          640         1810
414             2          241          638
415             2          195           79
416             4         1144           27
417             2          373          144
418             2          345           68
419             2          291          194
420             3           12           29
421             2          105          474
422             2          131          233
423             1         1720         1167
424             2          253          274
425             1         3909         1454
426             3           12           30
427             0           70         1485
428             1         1117         3426
429             2          278          425
430             2          132          177
431             2          160          414
432             4         2144           40
433             1         1092         1025
434             0            4         4050
435             1         1426         3751
436             2          264          315
437             2          562          651
438             1         2318         2738
439             0           23         1736
440             0           61         1705
441             0           28         1350
442             2          184          435
443             3           29           46
444             4         2078           10
445             3           29           42
446             1         1933         1934
447             3           64           40
448             1         4215         2587
449             4         3339           38
450             1         4660         4077
451             2          311          162
452             2          308          595
453             3           40           62
454             1         1106          685
455             1         1005         1987
456             0           20         2878
457             3           35           31
458             2          326          386
459             3           63           21
460             2          576          214
461             3           29           39
462             1         2029         2194
463             3           12           53
464             1         2539         3576
465             2          438          247
466             2          120          385
467             2          107          125
468             4         2254           50
469             1         1017          726
470             2          254          378
471             0           24         2542
472             4         1869           28
473             2          236          201
474             2          434          167
475             3           12           55
476             3            6           37
477             1          979         2423
478             2          271          192
479             1         2072         1063
480             2          310          320
481             2          160          310
482             2          109          155
483             2          253          159
484             0           44          909
485             1          714         3679
486             3           18           32
487             3           51           24
488             2          243          341
489             1         3240         2048
490             2           84          285
491             2          159          557
492             2          304          213
493             2          181          229
494             0           15         2578
495             3           17           31
496             3           20           20
497             2          516          234
498             2          288          368
499             2          348          423
500             2          283          324
501             2          609          288
502             3           35           27
503             1         2491         2056
504             4         3554           40
505             0           44         2014
506             1         1992          721
507             2           99          189
508             2          520          177
509             4         4330           15
510             2          284          221
511             4          926           19
512             1         1888         1348
513             2          201          220
514             3           54           13
515             1         1981         1964
516             2          172          129
517             1         1022          689
518             3           11           27
519             3           14           38
520             2          279          418
521             1         2582         1666
522             4          953           32
523             4         2378           66
524             0           13         3689
525             4         1042           15
526             2          258          377
527             0           32         2061
528             1         1779         1712
529             3           29           20
530             1          674         2518
531             2          208          363
532             3           29           36
533             3           36            8
534             2          351          218
535             2          604          608
536             4         2803           10
537             2          183          524
538             3           15           24
539             2          535          215
540             2          234          295
541             3           26           29
542             1          526         1458
543             4         1313           13
544             3           24           41
545             3           33           10
546             2          139          501
547             1          827         2483
548             2          584          167
549             0            5         1966
550             2          231          399
551             1          871         3449
552             1         2682          983
553             4          686           17
554             0           17         3899
555             3           32           39
556             1          491         1312
557             3           37            7
558             1         1885         2337
559             2          222          162
560             3            9           36
561             1         1889         2179
562             4         2296           51
563             2          686          585
564             3           40           30
565             2          425          188
566             3           30           31
567             4         1400           46
568             0           42         1295
569             2          235          499
570             1          312         1720
571             3            4           32
572             2           67          486
573             3           27           39
574             3           24           36
575             2          458          174
576             2          213           94
577             3           33           58
578             0           11         1658
579             2          392          283
580             3           45           46
581             2          314          130
582             2          283          447
583             2           60          332
584             0           35         1968
585             3           17           39
586             1         2134         2234
587             2          214          315
588             2          281          494
589             2          250          227
590             2          139           27
591             3           46           66
592             1          734         2482
593             1         2766         4031
594             3           37           16
595             0           47         2378
596             4         1496            7
597             1         1779         3058
598             4         3928           22
599             0           33         2376
600             2          409          428
601             3           30           41
602             1         2225         1539
603             2          207          292
604             3           43           24
605             1          879          916
606             3           60           32
607             1          947         1712
608             2          367           95
609             2          351          493
610             3           31            9
611             2          451          318
612             2          396          399
613             3           42           33
614             3           21           29
615             3           19           36
616             2          177          201
617             3           38           12
618             3           29           31
619             1         3107         1606
620             1         1745         3565
621             1          598         2446
622             1         1770         4209
623             2          345          284
624             4         1335           19
625             0           22         2993
626             2          512          403
627             2          225          255
628             2          846          162
629             3           56            6
630             2          467          425
631             1         1291         1504
632             0           26          920
633             2          523          446
634             0           61          438
635             2          320          159
636             4         3633           17
637             3           51           78
638             3           32           50
639             4         1782           30
640             2          607          428
641             1         1070          677
642             3           34           38
643             1          813          692
644             1          542         1110
645             2          242          540
646             2          514          285
647             2          280          347
648             2          104          278
649             3            9           70
650             1         2988         1477
651             0           76         3272
652             2          138          117
653             4          578            8
654             1          949         2803
655             1          615         1546
656             2          382          508
657             2          301          427
658             4         1643           16
659             2          675          404
660             3           18           15
661             0           17         2073
662             2           58          278
663             4         4150           33
664             3           23            3
665             1         2217         2088
666             0           26         2063
667             2          207           41
668             2          160          175
669             2           91          218
670             2          273          170
671             3           16           25
672             2          340          238
673             1         3282         1826
674             3           36           66
675             1         1439         2577
676             3           44           18
677             2          197          141
678             1          501          434
679             2           58          160
680             2          313          379
681             3           22           56
682             0           47         1799
683             2          320          190
684             1         2453         3711
685             3           24           24
686             1         1413         1768
687             0           17         2168
688             3           16           35
689             2          379          200
690             1         3752          905
691             3           35           35
692             1         2598         2025
693             0           37         1874
694             1         1638          919
695             2          102          291
696             2          399          223
697             3           47           22
698             3           42           23
699             2           88          258
700             2          176          231
701             1         2922          790
702             1         2004         1260
703             2          270          281
704             0           17         1968
705             3           23           88
706             2          311          466
707             2          266          623
708             2          590          326
709             2          771          147
710             4          570           21
711             1         2844         1296
712             2          250          406
713             4         1868           10
714             3           15           48
715             3           15           24
716             2          479          412
717             2          514          238
718             2          301          219
719             4         2315           22
720             0           27          965
721             2          360          443
722             2          230           53
723             2          388          220
724             4         1320           37
725             2          525          217
726             1         1675         2374
727             4         1928            8
728             0           17         4491
729             1         3589          929
730             1         1557          722
731             1         2850         3001
732             1         1343         2468
733             1         1490         1282
734             1         2998         1384
735             3            8           18
736             2          592          287
737             1          704          811
738             1          603         2509
739             2           78          129
740             1         1150          734
741             2          439          196
742             4          950           12
743             2          418          324
744             2          270          413
745             1         1306         1427
746             2           59          199
747             4          715           19
748             2          151          301
749             3           45           17
750             1         3316          768
751             2          257          298
752             3           13           13
753             4         1179           20
754             1         1556          342
755             1         1296         3196
756             1         1491         2165
757             0           23         1689
758             4         2120            7
759             3           33           16
760             2          245          364
761             0           24         2254
762             3           17           47
763             2          390          498
764             2          435          165
765             2          538          199
766             2          466          621
767             2          202          449
768             2          265          230
769             0           27         1070
770             1         3221         3307
771             3           40           34
772             0           49         1113
773             2          305          663
774             1         2266         1003
775             2          319          270
776             3           26           28
777             2          409           78
778             2          161          166
779             1         2984         1167
780             3           27           39
781             3           19           36
782             4         1057            6
783             3           54           45
784             2          104           95
785             2          286          171
786             3           20           21
787             2          458          314
788             2          364          338
789             2          453           79
790             0           23         1881
791             1         2537         1882
792             2          240          354
793             3           61           18
794             1         3973          606
795             1         1427         1011
796             0           44          224
797             3           62           24
798             1         1715         1343
799             1           82         3404
800             0           16         2271
801             2          212          490
802             2          295          155
803             2          231          423
804             3            3           45
805             2          143          167
806             2          359          161
807             2          135          533
808             2          154          206
809             3           28           25
810             2          225           69
811             2          122          463
812             0           38         1439
813             2          179          397
814             3           20           15
815             4         1516           52
816             2          377          347
817             2          299          332
818             3           46           41
819             2          486          475
820             0           20         1106
821             0           35         3630
822             3           15           31
823             3           37            8
824             1         1990         2491
825             2          716          139
826             2          269          325
827             2          194          279
828             0           26          838
829             3           12           26
830             0           39         1179
831             3           31           47
832             4          670           51
833             1         1590         1551
834             3           52           16
835             0           19         2965
836             3           46           30
837             2          341          426
838             3           40           28
839             1         1875          536
840             4          750           42
841             2          215          302
842             0           35         2874
843             2          371          271
844             3          106           31
845             1         1962         2027
846             3           13           40
847             4         1571           19
848             3           64           30
849             1         2113          723
850             3           29           31
851             2          256          206
852             2          412          124
853             3           46           18
854             2          147          138
855             1         2776          389
856             1         1551          799
857             1         2597         3805
858             2          396          332
859             1         1489         4829
860             2          461          396
861             2          321          229
862             2          249          221
863             2          331          403
864             2          241          289
865             0          101         2077
866             1         1976         1456
867             3           43           15
868             3           21           11
869             3           32           31
870             4         3337           62
871             1         2009         2974
872             0           38         1094
873             2          263          184
874             3           10           28
875             1         4047         1282
876             1         1736          623
877             2          173          643
878             3           84           11
879             1         2742         2592
880             3           17            5
881             4         2432           34
882             0           17         1606
883             2          574          245
884             2          277          488
885             2          295           95
886             2          294          210
887             0           24         2352
888             3           20           18
889             2           97          232
890             1          240         1917
891             1         3405         1782
892             1         2539         1875
893             1         1455         1799
894             1          561          564
895             2          253          436
896             4         2566           21
897             4         2382           16
898             2          154          358
899             3            3           10
900             2          343          331
901             0           41         2131
902             2          278          306
903             3           36           39
904             1         1936         2042
905             1         2043         1209
906             1          384         2142
907             0           34         2561
908             2          282          156
909             3           31           32
910             3           27           33
911             4         2140            5
912             1         2620         1252
913             2          507           91
914             2          682          688
915             2          287          453
916             2          611          241
917             2          441          474
918             3           52           36
919             2          539          140
920             3           28            9
921             1         1839          851
922             0           13         2328
923             2          456          267
924             0           23          861
925             3           25           20
926             3           43           52
927             4         1659           63
928             3           48           15
929             4         1988           15
930             3           35           31
931             3           24           41
932             1         3035         1263
933             3           17           35
934             1         2129         1520
935             2          388          321
936             1         1134         1672
937             2          164          156
938             1         1616         1982
939             2          132           83
940             1         2700         1636
941             2          188           63
942             3           11            9
943             3           37           22
944             2           38          112
945             1         3700         1763
946             2          139          540
947             1         2221         3332
948             0           47         2103
949             4          992           35
950             2          258          177
951             0           14         3310
952             1         2780         1187
953             1          713         2008
954             0           43          746
955             3           11           57
956             1         2436         1651
957             0           19         3520
958             3          139           45
959             2          860          352
960             0           10         3408
961             4         1891           29
962             2          485          538
963             0           20         1692
964             3           41           49
965             2          372          340
966             2          256          332
967             3            8           32
968             4         1341           17
969             3           25           18
970             3           30           45
971             2          479          211
972             2          204          305
973             3            6           38
974             1         1495         1514
975             3           39           55
976             4         2210           10
977             3           52           61
978             0           29          843
979             0           69         1787
980             2          522          328
981             0           25         2508
982             1         1323         3619
983             4         3777           31
984             2          259          234
985             3           13           36
986             3           33           47
987             2          196           76
988             2          598          344
989             0           14         2046
990             0           54         2227
991             0           14         2287
992             2          228          258
993             2          786          784
994             1         1380         3330
995             2          245           95
996             2          150          539
997             2           34          481
998             2          107           63
999             2          322          147
