#gene	sample1	sample2	sample3	sample4	sample5	sample6
FAM213B	391	452	537	214	187	231
MMEL1	1567	928	5413	2576	2184	1693
TTC34	2085	4244	3874	2245	2695	3721
ACTRT2	9457	6370	9421	4917	6934	1778
PRDM16	1421	926	983	713	677	610
ARHGEF16	16284	9279	9963	14142	14987	17405
MEGF6	10913	37356	18182	13415	11415	12681
TPRG1L	1950	3296	3502	1369	2741	2373
WRAP73	1213	1169	656	1204	742	637
TP73	10259	8814	6571	7519	16539	17109
CCDC27	606	349	227	232	305	316
SMIM1	13983	15228	8276	6442	8086	9397
LRRC47	26848	20948	11462	9427	16603	3982
CEP104	926	1283	699	1081	1555	653
DFFB	1429	478	622	751	801	849
C1orf174	3039	3381	2304	975	2158	1756
AJAP1	2121	3054	1539	3401	3287	3750
NPHP4	402	554	553	490	1021	411
KCNAB2	6271	2747	915	2141	1799	2873
CHD5	1365	652	2110	1341	1166	703
RPL22	56	37	86	50	50	16
RNF207	371	6682	3924	5330	2285	2417
ICMT	1250	1243	1478	532	963	962
HES3	2398	3201	1524	1113	1541	1487
GPR153	76	35	91	81	82	71
ACOT7	12548	10434	8687	4108	7912	5628
HES2	216	307	91	205	155	83
ESPN	157	79	102	75	49	67
TNFRSF25	1301	1485	1864	1354	849	1322
PLEKHG5	594	873	750	588	952	591
NOL9	4019	2351	3888	2793	3727	2375
TAS1R1	638	616	1153	1380	527	1022
ZBTB48	1749	5449	4786	1395	2236	2216
KLHL21	2216	1832	609	1238	799	680
PHF13	933	2608	788	1609	1189	2780
THAP3	1102	3078	2840	1942	1103	1003
DNAJC11	5749	8681	5939	5227	6779	9192
CAMTA1	639	717	654	432	388	433
VAMP3	198	226	474	211	325	398
PER3	206	304	254	175	165	158
UTS2	6771	3602	6801	2895	2721	5805
TNFRSF9	1267	1394	1287	890	1189	428
PARK7	3073	5414	12576	4628	8598	4834
ERRFI1	3431	3436	5625	7215	5026	3677
SLC45A1	128	112	92	49	57	25
RERE	15	13	16	4	11	3
ENO1	40	36	39	19	17	40
CA6	142	319	223	89	139	216
SLC2A7	3674	2183	3382	1645	3515	3325
SLC2A5	63	80	48	84	43	45
GPR157	6007	6956	7516	5499	5030	3761
H6PD	5062	2475	3137	3053	1129	1212
SPSB1	3895	2899	3011	1706	2294	3700
SLC25A33	8503	14688	8038	4760	5021	4815
TMEM201	2478	2446	2213	2827	1651	2842
PIK3CD	2204	2603	3310	2804	2844	2081
CLSTN1	3148	2287	1246	1692	680	1963
AL357140.1	52	80	98	52	32	43
CTNNBIP1	1230	372	699	455	441	480
LZIC	870	2026	2957	1036	1344	1578
NMNAT1	2567	2525	1797	1805	4449	1232
RBP7	570	1226	729	1190	874	828
UBE4B	1854	1017	1580	957	960	932
KIF1B	204	345	245	222	250	385
PGD	3381	1892	1389	1134	445	1052
APITD1-CORT	4803	4154	5580	2895	4031	3996
APITD1	10043	5066	7338	2928	2940	4796
CORT	5180	3561	4337	4351	7890	2281
DFFA	2307	4182	2426	4524	2119	4330
PEX14	10773	7054	9028	8693	2588	3227
CASZ1	359	162	389	252	207	274
C1orf127	1533	2468	1279	1470	1611	2919
TARDBP	7359	4095	6780	3384	1702	2413
RP4-635E18.9	132	48	125	127	88	166
MASP2	844	611	502	864	193	315
SRM	253	235	95	127	302	145
EXOSC10	205	316	583	209	187	141
MTOR	3615	8955	6677	6337	3701	3155
ANGPTL7	4779	11508	15495	10377	7735	16201
UBIAD1	2925	7110	3447	3667	1588	5114
DISP3	4074	2277	8760	3771	11508	5316
FBXO2	3569	4044	2953	3547	1559	1313
FBXO44	1432	862	448	242	1112	337
FBXO6	406	184	428	88	303	157
MAD2L2	2684	3116	1424	1858	2052	1369
DRAXIN	589	350	492	323	453	392
AGTRAP	1700	1109	1941	708	978	1260
C1orf167	1237	2328	4451	1203	3304	4375
MTHFR	4523	3147	4565	3283	2463	3251
CLCN6	371	952	790	957	466	724
NPPA	949	1950	1844	1829	1273	874
NPPB	3769	1574	2674	2704	910	2645
KIAA2013	2107	573	4365	1993	1468	1805
PLOD1	1536	1736	3497	3819	2416	776
MFN2	433	945	988	681	336	1065
MIIP	3252	4733	5929	3778	1747	1876
TNFRSF8	420	1296	1120	713	1107	857
TNFRSF1B	1301	1480	1791	733	829	2498
VPS13D	272	144	271	232	419	537
DHRS3	1181	706	762	966	342	576
AADACL4	3723	5000	3100	3196	2128	3522
AADACL3	3966	1455	1937	3391	3306	2710
C1orf158	316	457	237	161	180	150
PRAMEF12	4862	7908	4908	6680	3482	4392
PRAMEF1	3618	2018	1656	1423	2022	1473
PRAMEF11	13838	6311	2370	4020	5586	5257
HNRNPCL1	3858	1292	3466	2020	1732	2496
PRAMEF2	1738	1102	2907	458	2092	805
PRAMEF4	217	257	306	157	252	215
PRAMEF10	19	12	18	20	34	18
PRAMEF7	1865	1245	2477	1621	1433	1000
PRAMEF6	1248	804	1682	861	1605	1526
PRAMEF27	3689	3472	3490	3909	5804	8313
PRAMEF25	1611	2571	2211	3098	2873	2095
HNRNPCL3	21	13	17	30	13	23
HNRNPCL2	578	1234	1036	667	276	442
PRAMEF26	4708	4157	6167	9536	1961	4805
HNRNPCL4	1763	490	831	1081	1186	1029
PRAMEF9	876	974	1055	1345	1459	971
PRAMEF18	438	565	433	441	521	478
PRAMEF5	2348	1501	1011	1643	1534	1694
PRAMEF8	1246	2795	1761	1975	1086	2070
PRAMEF15	1064	950	1289	910	1329	2094
PRAMEF14	3500	5942	1492	3104	2974	1176
PRAMEF19	8838	3893	3405	3017	5565	4576
PRAMEF17	2058	2815	3137	1593	2370	3175
PRAMEF20	14242	10366	12598	10887	4885	11633
LRRC38	3440	1389	686	1386	1148	1144
PDPN	101	159	139	107	126	82
PRDM2	1701	659	2370	796	1932	958
KAZN	1436	866	1868	2579	1777	1503
TMEM51	734	1325	1236	1415	855	1396
FHAD1	1760	2356	2469	3068	1859	1778
EFHD2	7943	3682	4178	4442	4088	5321
CTRC	1707	1136	1594	678	1063	1352
CELA2A	1957	1438	1456	1035	580	959
CELA2B	370	273	512	262	262	620
CASP9	1946	1041	2658	1320	1489	1671
DNAJC16	447	357	411	595	458	720
AGMAT	1882	4858	2154	2731	928	2278
DDI2	611	330	1111	772	666	837
RSC1A1	1721	2398	863	723	771	1463
PLEKHM2	672	483	806	387	411	744
SLC25A34	1063	2117	1024	1239	1050	1170
TMEM82	1614	3157	3231	677	2480	1056
FBLIM1	256	256	246	148	143	209
UQCRHL	26	53	24	16	18	9
SPEN	910	1214	1671	803	638	673
ZBTB17	246	559	509	383	345	197
C1orf64	2982	9173	5442	6378	8102	3950
HSPB7	3564	758	1783	2020	976	1397
CLCNKA	4695	2108	7382	3532	3699	2690
CLCNKB	2342	1465	1551	579	587	1395
FAM131C	582	2411	2350	657	1345	730
EPHA2	1295	1073	887	1031	1299	555
ARHGEF19	2669	2312	2531	2353	2009	1753
RSG1	3075	4401	3243	1700	3227	2309
FBXO42	91	46	31	11	24	41
SZRD1	3274	6307	6688	2704	3191	6852
SPATA21	1025	466	581	1362	381	783
NECAP2	609	532	216	555	606	789
FAM231B	98	120	65	110	120	114
NBPF1	5560	7666	4207	3005	6394	3704
FAM231A	4221	2690	3375	3319	4493	1174
FAM231C	315	336	325	450	257	197
CROCC	1285	2495	1474	1306	1243	1685
MFAP2	3782	7922	4683	2524	2247	2296
ATP13A2	11310	9671	11563	5375	4111	8444
SDHB	5122	5516	2015	4125	2763	2016
PADI2	913	1339	1147	591	1280	763
PADI1	1987	2235	979	913	791	1691
PADI3	1479	2973	1605	1961	2315	1870
PADI4	5544	7664	1776	1770	1927	1132
AC004824.1	1350	1254	1061	897	1328	1621
PADI6	3145	2117	1466	1588	1870	1038
RCC2	1103	1095	1101	573	498	362
ARHGEF10L	622	477	428	136	349	422
ACTL8	172	88	148	81	213	207
IGSF21	2484	1251	3060	1570	1736	710
KLHDC7A	1116	4015	6426	2503	2490	2608
PAX7	540	568	498	605	422	581
TAS1R2	420	344	373	323	399	307
RP13-279N23.2	3383	4182	5016	1594	2845	1729
ALDH4A1	3472	18891	2288	2989	5097	8049
IFFO2	5571	6188	3335	1506	6109	2756
UBR4	453	301	489	429	333	721
EMC1	4186	2214	3232	1719	2477	3039
MRTO4	3419	6220	2375	2466	5181	3201
AKR7A3	4722	6212	6161	3013	2120	4865
AKR7A2	2303	4908	1998	3197	1614	1552
PQLC2	1232	503	860	515	780	1172
CAPZB	780	593	302	285	456	294
MINOS1	613	116	219	307	151	193
MINOS1-NBL1	1549	2138	1489	1202	2704	1203
NBL1	3228	3222	1223	2413	2394	953
HTR6	3295	3260	1591	2729	2589	4152
TMCO4	46	33	25	42	20	22
RNF186	1436	1887	1165	3013	1217	977
OTUD3	10913	4833	3799	6899	5432	3491
PLA2G2E	7813	4536	3014	5264	2330	3234
PLA2G2A	1583	2129	1413	1005	1583	580
PLA2G5	284	473	161	225	95	222
PLA2G2D	2583	3167	3061	6187	4147	8884
PLA2G2F	232	396	178	190	146	106
PLA2G2C	274	281	181	302	274	250
UBXN10	514	288	194	160	149	172
VWA5B1	190	150	218	70	116	164
CAMK2N1	4168	4337	3485	2643	2242	2915
MUL1	1406	866	921	1065	2090	1205
FAM43B	149	677	598	291	352	368
CDA	1854	1509	1992	2484	1716	2784
PINK1	1665	1508	1481	944	1660	1309
DDOST	501	207	301	136	256	429
KIF17	1179	864	1082	1216	648	1063
SH2D5	8456	2214	4695	7527	4287	4956
HP1BP3	1637	1052	886	997	1503	944
EIF4G3	3392	3468	4494	3482	2212	2138
ECE1	585	606	477	471	461	393
NBPF3	2258	774	3388	1780	2367	1604
ALPL	552	378	236	1008	545	408
RAP1GAP	771	1868	1281	617	1527	963
USP48	4159	8281	6704	4744	4758	5161
LDLRAD2	1293	1585	1786	1249	2546	2083
HSPG2	3715	1899	1892	1199	1416	1271
CELA3B	1559	2487	2437	2113	1896	1804
CELA3A	4312	6964	9315	9002	6814	5566
CDC42	2959	1535	7157	4197	2091	4551
WNT4	1641	3357	5139	1880	2931	2035
ZBTB40	2559	2438	2094	1319	1763	1523
EPHA8	1091	1288	1067	907	907	1367
C1QA	271	339	151	171	210	134
C1QC	5201	4178	2103	2543	1467	2079
C1QB	6247	3708	4739	2918	2667	2984
EPHB2	898	1141	783	694	533	940
LACTBL1	7771	9877	10545	8684	4654	11753
C1orf234	891	1893	1567	1572	1362	356
KDM1A	5567	5515	10405	2481	7749	2810
LUZP1	1675	1141	1536	1525	366	718
HTR1D	867	972	387	649	276	401
HNRNPR	1452	863	1386	1242	866	1565
ZNF436	4635	7668	8613	4986	2611	4248
TCEA3	223	205	99	184	151	209
ASAP3	3062	4395	4242	3091	2484	1542
E2F2	11562	3837	9387	4424	5744	3455
ID3	276	314	148	237	235	49
MDS2	198	131	101	190	125	183
RPL11	2495	849	1886	558	1439	1621
TCEB3	350	525	715	303	651	891
PITHD1	6988	5666	5182	2634	2582	3394
LYPLA2	3662	8364	2199	6202	5974	6491
GALE	5799	14124	5517	1823	6487	7394
HMGCL	3470	1109	2759	2216	5595	3038
FUCA1	5205	3318	2287	2839	3987	3721
CNR2	761	1530	1610	1281	2190	1713
PNRC2	1718	2440	4014	1455	1853	505
SRSF10	2700	3150	2875	1218	1408	2134
MYOM3	1898	2656	2204	1165	4895	3591
IL22RA1	1741	1774	1852	1020	1620	1845
IFNLR1	1903	1220	598	1336	963	837
GRHL3	3155	4893	2732	6419	8296	1625
STPG1	10949	8645	8593	2294	2335	9283
NIPAL3	5645	6788	2200	4242	8034	3956
RCAN3	1994	2347	899	644	898	2183
NCMAP	447	628	621	121	250	371
SRRM1	4719	4278	5561	3247	3991	5559
CLIC4	2668	3310	2999	1113	3531	6353
RUNX3	2268	3238	5632	3522	2030	2962
SYF2	945	542	714	809	255	937
RSRP1	9218	16587	13070	4255	5766	7345
RHD	3452	4184	2849	3112	2958	2155
TMEM50A	11548	4022	6776	5279	2815	7467
RHCE	1188	427	798	489	456	334
TMEM57	2539	1566	2818	1317	497	747
LDLRAP1	1101	2159	1101	985	1962	657
MAN1C1	6661	10700	3148	6045	9201	5506
SEPN1	2304	3612	7504	1820	1816	2347
RP1-317E23.6	69	85	77	106	80	43
MTFR1L	1649	1171	451	462	913	732
AUNIP	4384	2163	1018	3139	2904	3337
PAQR7	1832	1891	1716	2850	1648	1124
STMN1	6717	8286	4850	4404	5064	6908
PAFAH2	1176	679	1052	650	876	505
EXTL1	180	57	152	293	363	337
SLC30A2	3680	2601	3606	2994	5318	2724
TRIM63	572	290	665	259	254	419
PDIK1L	2040	1612	1652	1380	1497	949
FAM110D	12098	4200	6002	6044	6673	2934
RP11-96L14.8	497	717	942	495	639	1156
RP11-96L14.7	7162	3165	1888	1078	2026	3352
ZNF593	2058	1657	1684	2720	2063	1811
CNKSR1	2010	937	1114	633	1211	1062
CATSPER4	1113	1164	1867	353	1129	804
CEP85	718	639	556	1107	727	798
SH3BGRL3	4373	4053	3728	5558	2515	5731
UBXN11	4231	2087	3970	2300	1243	1997
CD52	177	467	432	193	285	245
AIM1L	2307	2165	1883	802	475	1756
ZNF683	1558	1404	1608	1340	1422	2173
LIN28A	3681	6475	6857	3635	10367	1790
DHDDS	337	836	392	326	248	205
HMGN2	4088	3491	3695	2411	3951	6826
RPS6KA1	4455	2999	3887	4146	1658	3404
ARID1A	527	166	280	189	151	246
PIGV	401	354	181	202	502	153
ZDHHC18	757	1979	1764	726	1102	1591
SFN	4854	3941	4373	3969	2595	4111
GPN2	210	426	356	186	321	272
GPATCH3	493	490	674	424	673	324
NUDC	512	1053	648	1057	889	809
NR0B2	4321	4457	3518	2168	3080	2865
KDF1	4084	3248	3577	2476	2343	2309
TRNP1	1992	3860	1211	1121	778	1878
FAM46B	1301	1054	2215	1144	1723	1253
AL137860.1	894	1666	2237	1364	1518	1187
SLC9A1	12379	3110	4444	3669	5609	4140
WDTC1	1687	3063	2921	813	1961	2826
TMEM222	2529	2572	1385	1405	1777	1556
SYTL1	2629	2029	4752	3477	2651	4779
MAP3K6	3546	2063	2254	2352	2015	3141
FCN3	6482	4072	6244	2124	4109	4403
CD164L2	2004	2193	4481	2865	1477	2497
GPR3	4927	5469	5388	2678	2708	4414
WASF2	3348	2515	3378	2398	2605	2667
AHDC1	1496	285	799	1315	1593	637
FGR	3291	2569	3506	1317	1556	3269
IFI6	203	174	330	467	157	184
FAM76A	1642	1725	3284	2182	3514	2256
STX12	2130	2320	1592	4199	894	1055
PPP1R8	1567	2146	2782	1484	1193	968
AL109927.1	4118	5026	6812	5097	6533	10218
THEMIS2	827	1121	2162	1533	878	1736
RPA2	7888	9513	9312	4923	4809	4053
SMPDL3B	360	334	454	178	258	377
XKR8	2916	1320	2543	1524	2613	2144
EYA3	798	1292	977	697	851	800
PTAFR	2640	2219	3292	1564	2505	1480
DNAJC8	2233	846	773	789	1074	875
ATPIF1	1835	2267	1154	2256	1028	1891
SESN2	3577	3396	884	2503	3378	2646
MED18	1204	1711	1472	760	849	1058
PHACTR4	936	2548	1384	1944	3357	2858
RCC1	3000	3208	2880	4344	4829	4417
TRNAU1AP	5038	1573	2069	2495	1194	2457
TAF12	695	2169	1859	630	503	511
RAB42	9730	9021	7530	5523	9305	12704
GMEB1	4946	3298	7297	3721	2338	4390
YTHDF2	2148	3861	2016	3913	1399	283
OPRD1	5531	5766	4952	3740	2252	5912
EPB41	7731	5689	4866	4021	2854	2221
TMEM200B	959	264	126	277	371	299
SRSF4	1	0	1	0	2	0
MECR	721	651	640	540	407	1079
PTPRU	3040	2734	2940	4709	3875	4165
MATN1	1204	1016	1382	631	1049	1218
LAPTM5	549	1560	773	266	610	513
SDC3	583	640	708	321	400	165
PUM1	2237	5396	7762	3277	2451	6001
NKAIN1	4286	6759	6145	5706	2066	4279
SNRNP40	69	52	49	44	65	83
ZCCHC17	4272	2427	8703	1558	2742	6492
FABP3	9031	9333	15123	6577	11211	8251
SERINC2	708	540	369	760	399	256
TINAGL1	2063	3904	1579	1419	1088	1450
HCRTR1	935	1078	1633	371	767	849
PEF1	1960	3675	4114	2227	3953	2528
COL16A1	736	1553	714	1318	1126	786
ADGRB2	4520	5267	7734	2271	1705	1114
SPOCD1	2086	1613	817	1191	849	982
PTP4A2	2547	792	678	815	1235	738
KHDRBS1	2634	2772	2219	2604	1309	2771
TMEM39B	3114	6225	5879	1488	4469	1105
KPNA6	2670	3050	3407	2128	2049	2834
TXLNA	4523	1953	5150	1987	3636	4027
CCDC28B	6701	6070	7111	5299	8015	4749
IQCC	735	905	671	933	477	628
DCDC2B	4230	4209	10379	4509	7210	4250
TMEM234	171	254	794	273	517	440
EIF3I	565	251	876	313	519	302
FAM167B	406	700	680	451	466	392
LCK	2410	4123	3685	2887	1194	2618
HDAC1	4826	5323	2883	1779	3108	1991
MARCKSL1	1287	355	616	982	545	657
TSSK3	1025	2135	1059	1274	832	1366
FAM229A	802	815	577	907	500	612
BSDC1	1853	1816	1411	742	863	855
RP1-27O5.3	2611	6359	1653	2249	1832	2045
ZBTB8B	1484	1097	1155	926	576	546
ZBTB8A	1917	2949	2683	2324	2518	4173
ZBTB8OS	800	1908	860	439	920	224
RBBP4	533	1203	1656	1196	580	510
SYNC	6449	3814	5169	2322	1888	3197
KIAA1522	1270	358	937	590	784	951
YARS	1405	2766	2621	1174	1976	375
S100PBP	17368	25338	12373	4553	12293	7564
FNDC5	1798	2495	785	2240	831	1333
HPCA	51	47	71	39	120	41
TMEM54	625	1313	1303	709	429	717
RNF19B	141	145	256	103	99	87
AK2	5502	2426	7249	4512	2465	2902
AZIN2	658	630	357	313	507	392
TRIM62	396	358	512	341	140	161
ZNF362	1068	837	756	617	630	837
A3GALT2	3663	645	834	1907	876	1360
PHC2	832	1069	773	1188	1598	1091
ZSCAN20	2363	3066	2389	5160	3660	4161
CSMD2	1183	703	853	561	911	1358
HMGB4	296	322	911	339	393	319
C1orf94	3409	2337	2966	1017	2508	1808
SMIM12	4801	3584	4024	3046	2821	3049
GJB5	2433	2196	3210	3265	1814	2958
GJB4	832	217	743	552	345	441
GJB3	12666	7164	14956	7395	7574	3407
GJA4	5530	5993	7216	5212	4114	2679
DLGAP3	3439	6940	6903	4879	3473	7797
RP11-244H3.4	37	50	46	69	20	32
TMEM35B	139	226	145	172	149	138
ZMYM6	1084	2017	1400	1214	627	725
ZMYM1	663	636	941	354	511	349
SFPQ	4560	1973	688	1880	2428	1197
ZMYM4	1770	990	2323	828	1488	1434
KIAA0319L	217	223	255	144	52	191
NCDN	3667	1250	4504	4107	1514	1603
TFAP2E	4796	3964	4200	2651	1918	4908
PSMB2	699	991	711	615	731	675
C1orf216	4518	3145	2449	987	3427	1936
CLSPN	405	811	520	202	315	820
AGO4	11022	5586	3082	3667	4223	1568
AGO1	355	717	488	512	629	245
AGO3	258	203	148	171	203	237
TEKT2	2183	3214	4387	1512	4278	3462
ADPRHL2	7400	5103	6343	3114	2389	3929
COL8A2	1278	2350	2429	2984	1486	2603
TRAPPC3	559	492	761	458	1195	470
MAP7D1	2692	3131	2668	2409	3169	1694
THRAP3	10225	9287	4393	5682	4072	8410
SH3D21	456	492	444	784	253	285
EVA1B	4887	2316	2775	3928	3884	1520
STK40	5103	2194	3780	3888	3331	1857
LSM10	1528	1171	807	534	795	823
OSCP1	3157	2262	1352	825	1162	2339
MRPS15	4177	2693	4449	4746	2936	2912
CSF3R	5073	2262	1640	2598	2519	3245
GRIK3	6479	14441	11321	6168	2104	10851
ZC3H12A	537	847	530	656	467	950
MEAF6	102	68	203	110	69	158
SNIP1	861	1633	3316	786	1479	2466
DNALI1	354	212	534	784	301	1072
GNL2	190	215	469	245	307	447
RSPO1	532	191	350	327	466	380
C1orf109	194	237	219	140	131	98
CDCA8	599	1226	662	982	273	781
EPHA10	6959	3854	8973	5111	2389	3717
MANEAL	3633	3412	2811	1475	4323	7543
YRDC	784	1699	480	975	547	1200
C1orf122	3611	1332	2238	3232	1411	5264
MTF1	1484	1289	1793	2103	1078	1113
INPP5B	1810	2179	1559	1078	1688	2392
SF3A3	13137	4646	5193	6604	4579	4638
FHL3	434	253	324	228	249	194
UTP11	4047	3590	4465	1439	4379	2174
POU3F1	1706	1994	775	961	1339	1097
RRAGC	543	248	826	445	339	460
MYCBP	825	6029	2640	3070	2386	2532
RP5-864K19.6	82	163	142	88	118	167
GJA9	282	143	137	198	123	152
RHBDL2	165	189	125	159	54	130
AKIRIN1	192	91	229	133	276	87
NDUFS5	7498	6064	19674	8468	13802	7659
MACF1	1120	1549	1600	848	1616	985
BMP8A	6175	5596	9464	6233	1950	5628
PABPC4	18576	5023	5357	9107	3111	10552
HEYL	107	135	225	56	83	206
NT5C1A	2567	1086	1562	1389	1205	455
HPCAL4	14008	11701	6286	4867	5873	9287
PPIE	63	29	68	19	22	65
